origin;destination;airline;departure;arrival;price;time
GRU-Brasil;KIN-Jamaica;American Airlines;20/04/2022 13:00:00 (-08:00);22/04/2022 01:00:00 (+12:00);3380.0;16.0
GRU-Brasil;KIN-Jamaica;AirCanada;27/04/2022 04:00:00 (-12:00);28/04/2022 13:00:00 (+04:00);2891.0;17.0
GRU-Brasil;KIN-Jamaica;Qatar Airways;07/04/2022 01:00:00 (-06:00);08/04/2022 04:00:00 (-01:00);2136.0;22.0
GRU-Brasil;KIN-Jamaica;Emirates;30/04/2022 00:00:00 (+10:00);30/04/2022 18:00:00 (+06:00);4686.0;22.0
GRU-Brasil;LIS-Portugal;LATAM Airlines;23/04/2022 13:00:00 (+03:00);23/04/2022 13:00:00 (Z);2848.0;3.0
GRU-Brasil;LIS-Portugal;AirFrance;30/04/2022 23:00:00 (-05:00);01/05/2022 16:00:00 (+08:00);2888.0;4.0
GRU-Brasil;LIS-Portugal;AirCanada;20/04/2022 08:00:00 (-12:00);21/04/2022 09:00:00 (+04:00);2323.0;9.0
GRU-Brasil;LIS-Portugal;Ethiopian Airlines;03/04/2022 08:00:00 (+07:00);03/04/2022 19:00:00 (+08:00);4986.0;10.0
GRU-Brasil;LIS-Portugal;United Airlines;29/04/2022 08:00:00 (-07:00);29/04/2022 22:00:00 (-08:00);3066.0;15.0
GRU-Brasil;LIS-Portugal;Gol Airlines;30/04/2022 17:00:00 (+03:00);01/05/2022 13:00:00 (+07:00);3007.0;16.0
GRU-Brasil;LIS-Portugal;Qatar Airways;25/04/2022 08:00:00 (-03:00);26/04/2022 05:00:00 (-01:00);3651.0;19.0
GRU-Brasil;LIS-Portugal;Emirates;11/04/2022 16:00:00 (-02:00);12/04/2022 12:00:00 (-02:00);4539.0;20.0
GRU-Brasil;LIS-Portugal;American Airlines;28/04/2022 23:00:00 (-05:00);30/04/2022 06:00:00 (+04:00);3334.0;22.0
GRU-Brasil;LIS-Portugal;Lufthansa;18/04/2022 08:00:00 (-01:00);19/04/2022 19:00:00 (+12:00);4192.0;22.0
GRU-Brasil;MEL-Austrália;Emirates;03/04/2022 10:00:00 (-02:00);03/04/2022 02:00:00 (-11:00);2464.0;1.0
GRU-Brasil;MEL-Austrália;AirCanada;27/04/2022 22:00:00 (+12:00);27/04/2022 16:00:00 (+04:00);4943.0;2.0
GRU-Brasil;MEL-Austrália;Lufthansa;10/04/2022 14:00:00 (-07:00);11/04/2022 06:00:00 (+03:00);4848.0;6.0
GRU-Brasil;MEL-Austrália;AirFrance;08/04/2022 05:00:00 (+02:00);08/04/2022 13:00:00 (+02:00);4061.0;8.0
GRU-Brasil;MEL-Austrália;United Airlines;18/04/2022 16:00:00 (Z);19/04/2022 04:00:00 (+01:00);3928.0;11.0
GRU-Brasil;MEL-Austrália;Qatar Airways;19/04/2022 13:00:00 (Z);20/04/2022 11:00:00 (+09:00);4587.0;13.0
GRU-Brasil;MEL-Austrália;Ethiopian Airlines;06/04/2022 08:00:00 (-07:00);06/04/2022 21:00:00 (-10:00);4914.0;16.0
GRU-Brasil;MEL-Austrália;Gol Airlines;13/04/2022 22:00:00 (-03:00);14/04/2022 08:00:00 (-11:00);3524.0;18.0
GRU-Brasil;MEL-Austrália;American Airlines;23/04/2022 01:00:00 (-02:00);23/04/2022 23:00:00 (+01:00);4116.0;19.0
GRU-Brasil;MEL-Austrália;LATAM Airlines;22/04/2022 21:00:00 (-05:00);24/04/2022 02:00:00 (+01:00);4775.0;23.0
GRU-Brasil;YYC-Canada;LATAM Airlines;22/04/2022 02:00:00 (-06:00);22/04/2022 20:00:00 (+04:00);2591.0;8.0
GRU-Brasil;YYC-Canada;Emirates;11/04/2022 22:00:00 (Z);11/04/2022 23:00:00 (-11:00);2781.0;12.0
GRU-Brasil;YYC-Canada;Qatar Airways;07/04/2022 00:00:00 (-10:00);07/04/2022 20:00:00 (-02:00);3609.0;12.0
GRU-Brasil;YYC-Canada;American Airlines;19/04/2022 01:00:00 (-09:00);19/04/2022 15:00:00 (-08:00);4341.0;13.0
GRU-Brasil;YYC-Canada;AirCanada;21/04/2022 16:00:00 (-04:00);22/04/2022 09:00:00 (-01:00);4944.0;14.0
GRU-Brasil;YYC-Canada;Ethiopian Airlines;23/04/2022 11:00:00 (Z);24/04/2022 02:00:00 (-01:00);4971.0;16.0
GRU-Brasil;YYC-Canada;AirFrance;27/04/2022 12:00:00 (-01:00);28/04/2022 02:00:00 (-04:00);2211.0;17.0
GRU-Brasil;YYC-Canada;Lufthansa;21/04/2022 18:00:00 (+09:00);21/04/2022 18:00:00 (-08:00);3547.0;17.0
GRU-Brasil;YYC-Canada;Gol Airlines;03/04/2022 19:00:00 (+06:00);04/04/2022 10:00:00 (+03:00);2736.0;18.0
GRU-Brasil;YYC-Canada;United Airlines;09/04/2022 20:00:00 (-09:00);11/04/2022 14:00:00 (+11:00);2957.0;22.0
JFK-Estados Unidos;FEN-Brasil;Gol Airlines;20/04/2022 07:00:00 (+11:00);19/04/2022 09:00:00 (-12:00);3890.0;1.0
JFK-Estados Unidos;FEN-Brasil;Qatar Airways;17/04/2022 15:00:00 (+04:00);17/04/2022 09:00:00 (-05:00);3929.0;3.0
JFK-Estados Unidos;FEN-Brasil;American Airlines;01/04/2022 08:00:00 (+08:00);31/03/2022 21:00:00 (-07:00);4024.0;4.0
JFK-Estados Unidos;FEN-Brasil;Emirates;14/04/2022 23:00:00 (-02:00);15/04/2022 00:00:00 (-08:00);4066.0;7.0
JFK-Estados Unidos;FEN-Brasil;LATAM Airlines;13/04/2022 21:00:00 (-06:00);14/04/2022 16:00:00 (+04:00);3951.0;9.0
JFK-Estados Unidos;FEN-Brasil;United Airlines;11/04/2022 01:00:00 (+08:00);11/04/2022 07:00:00 (+02:00);3181.0;12.0
JFK-Estados Unidos;FEN-Brasil;Ethiopian Airlines;07/04/2022 16:00:00 (+02:00);07/04/2022 17:00:00 (-11:00);4133.0;14.0
JFK-Estados Unidos;FEN-Brasil;AirCanada;16/04/2022 19:00:00 (Z);17/04/2022 16:00:00 (Z);4685.0;21.0
JFK-Estados Unidos;FEN-Brasil;Lufthansa;07/04/2022 22:00:00 (-02:00);09/04/2022 11:00:00 (+11:00);3010.0;24.0
JFK-Estados Unidos;FEN-Brasil;AirFrance;06/04/2022 07:00:00 (+08:00);07/04/2022 05:00:00 (+06:00);3313.0;24.0
JFK-Estados Unidos;GRU-Brasil;Emirates;05/04/2022 20:00:00 (+12:00);05/04/2022 03:00:00 (-06:00);4710.0;1.0
JFK-Estados Unidos;GRU-Brasil;LATAM Airlines;12/04/2022 01:00:00 (+04:00);12/04/2022 07:00:00 (+06:00);3364.0;4.0
JFK-Estados Unidos;GRU-Brasil;United Airlines;21/04/2022 15:00:00 (+10:00);21/04/2022 19:00:00 (+08:00);3351.0;6.0
JFK-Estados Unidos;GRU-Brasil;Ethiopian Airlines;14/04/2022 19:00:00 (-10:00);15/04/2022 05:00:00 (-09:00);2294.0;9.0
JFK-Estados Unidos;GRU-Brasil;Gol Airlines;08/04/2022 22:00:00 (+09:00);08/04/2022 15:00:00 (-11:00);2438.0;13.0
JFK-Estados Unidos;GRU-Brasil;AirFrance;27/04/2022 22:00:00 (-01:00);28/04/2022 08:00:00 (-05:00);4995.0;14.0
JFK-Estados Unidos;GRU-Brasil;Qatar Airways;17/04/2022 13:00:00 (+12:00);18/04/2022 01:00:00 (+05:00);3789.0;19.0
JFK-Estados Unidos;GRU-Brasil;AirCanada;29/04/2022 02:00:00 (+02:00);30/04/2022 00:00:00 (+02:00);3791.0;22.0
JFK-Estados Unidos;GRU-Brasil;Lufthansa;07/04/2022 02:00:00 (Z);08/04/2022 09:00:00 (+09:00);4272.0;22.0
JFK-Estados Unidos;GRU-Brasil;American Airlines;01/04/2022 17:00:00 (-01:00);02/04/2022 15:00:00 (-02:00);4067.0;23.0
JFK-Estados Unidos;KIN-Jamaica;American Airlines;03/04/2022 08:00:00 (-07:00);03/04/2022 04:00:00 (-12:00);3202.0;1.0
JFK-Estados Unidos;KIN-Jamaica;Qatar Airways;13/04/2022 07:00:00 (-11:00);14/04/2022 02:00:00 (+06:00);3502.0;2.0
JFK-Estados Unidos;KIN-Jamaica;AirFrance;10/04/2022 05:00:00 (Z);10/04/2022 12:00:00 (+05:00);3992.0;2.0
JFK-Estados Unidos;KIN-Jamaica;Gol Airlines;09/04/2022 23:00:00 (+09:00);09/04/2022 14:00:00 (-06:00);2943.0;6.0
JFK-Estados Unidos;KIN-Jamaica;United Airlines;07/04/2022 22:00:00 (+11:00);07/04/2022 06:00:00 (-11:00);4234.0;6.0
JFK-Estados Unidos;KIN-Jamaica;Ethiopian Airlines;24/04/2022 02:00:00 (-12:00);24/04/2022 15:00:00 (-06:00);4631.0;7.0
JFK-Estados Unidos;KIN-Jamaica;Lufthansa;06/04/2022 16:00:00 (+11:00);06/04/2022 14:00:00 (Z);2073.0;9.0
JFK-Estados Unidos;KIN-Jamaica;LATAM Airlines;11/04/2022 15:00:00 (+09:00);12/04/2022 05:00:00 (+03:00);2973.0;20.0
JFK-Estados Unidos;KIN-Jamaica;AirCanada;19/04/2022 21:00:00 (+10:00);20/04/2022 22:00:00 (+12:00);2937.0;23.0
JFK-Estados Unidos;KIN-Jamaica;Emirates;27/04/2022 03:00:00 (-11:00);28/04/2022 17:00:00 (+04:00);4153.0;23.0
JFK-Estados Unidos;LIS-Portugal;Emirates;08/04/2022 13:00:00 (-09:00);09/04/2022 02:00:00 (+01:00);2348.0;3.0
JFK-Estados Unidos;LIS-Portugal;Gol Airlines;22/04/2022 16:00:00 (Z);23/04/2022 05:00:00 (+06:00);2293.0;7.0
JFK-Estados Unidos;LIS-Portugal;United Airlines;13/04/2022 22:00:00 (+08:00);13/04/2022 11:00:00 (-10:00);3880.0;7.0
JFK-Estados Unidos;LIS-Portugal;AirFrance;19/04/2022 16:00:00 (+06:00);19/04/2022 14:00:00 (-09:00);4321.0;13.0
JFK-Estados Unidos;LIS-Portugal;American Airlines;14/04/2022 19:00:00 (Z);15/04/2022 04:00:00 (-04:00);4472.0;13.0
JFK-Estados Unidos;LIS-Portugal;Qatar Airways;17/04/2022 02:00:00 (-08:00);18/04/2022 10:00:00 (+10:00);4918.0;14.0
JFK-Estados Unidos;LIS-Portugal;LATAM Airlines;04/04/2022 23:00:00 (+07:00);05/04/2022 03:00:00 (-04:00);4264.0;15.0
JFK-Estados Unidos;LIS-Portugal;Ethiopian Airlines;21/04/2022 07:00:00 (-06:00);22/04/2022 16:00:00 (+06:00);4717.0;21.0
JFK-Estados Unidos;LIS-Portugal;AirCanada;06/04/2022 01:00:00 (-07:00);07/04/2022 02:00:00 (-04:00);3029.0;22.0
JFK-Estados Unidos;LIS-Portugal;Lufthansa;27/04/2022 19:00:00 (-06:00);28/04/2022 17:00:00 (-07:00);2311.0;23.0
JFK-Estados Unidos;MEL-Austrália;Emirates;26/04/2022 13:00:00 (+06:00);25/04/2022 21:00:00 (-11:00);2522.0;1.0
JFK-Estados Unidos;MEL-Austrália;AirCanada;11/04/2022 07:00:00 (+12:00);10/04/2022 20:00:00 (-01:00);3504.0;2.0
JFK-Estados Unidos;MEL-Austrália;Lufthansa;04/04/2022 23:00:00 (+11:00);04/04/2022 08:00:00 (-06:00);3656.0;2.0
JFK-Estados Unidos;MEL-Austrália;LATAM Airlines;04/04/2022 21:00:00 (Z);05/04/2022 05:00:00 (+05:00);2129.0;3.0
JFK-Estados Unidos;MEL-Austrália;American Airlines;24/04/2022 04:00:00 (+04:00);24/04/2022 07:00:00 (-01:00);2907.0;8.0
JFK-Estados Unidos;MEL-Austrália;Qatar Airways;11/04/2022 14:00:00 (-07:00);12/04/2022 06:00:00 (+01:00);3510.0;8.0
JFK-Estados Unidos;MEL-Austrália;Ethiopian Airlines;19/04/2022 16:00:00 (+06:00);19/04/2022 21:00:00 (-01:00);2981.0;12.0
JFK-Estados Unidos;MEL-Austrália;Gol Airlines;27/04/2022 14:00:00 (+04:00);28/04/2022 07:00:00 (+05:00);2550.0;16.0
JFK-Estados Unidos;MEL-Austrália;United Airlines;04/04/2022 05:00:00 (+12:00);04/04/2022 17:00:00 (+08:00);4746.0;16.0
JFK-Estados Unidos;MEL-Austrália;AirFrance;05/04/2022 02:00:00 (+04:00);05/04/2022 21:00:00 (+04:00);2600.0;19.0
JFK-Estados Unidos;MEX-México;Ethiopian Airlines;29/04/2022 03:00:00 (-07:00);29/04/2022 22:00:00 (+11:00);3037.0;1.0
JFK-Estados Unidos;MEX-México;Qatar Airways;15/04/2022 01:00:00 (-12:00);16/04/2022 02:00:00 (+09:00);3642.0;4.0
JFK-Estados Unidos;MEX-México;AirCanada;10/04/2022 01:00:00 (+10:00);10/04/2022 07:00:00 (+04:00);2645.0;12.0
JFK-Estados Unidos;MEX-México;Lufthansa;26/04/2022 06:00:00 (+02:00);26/04/2022 10:00:00 (-07:00);2918.0;13.0
JFK-Estados Unidos;MEX-México;LATAM Airlines;20/04/2022 06:00:00 (-05:00);20/04/2022 20:00:00 (-04:00);4084.0;13.0
JFK-Estados Unidos;MEX-México;AirFrance;19/04/2022 10:00:00 (-08:00);20/04/2022 05:00:00 (-04:00);4140.0;15.0
JFK-Estados Unidos;MEX-México;Gol Airlines;10/04/2022 07:00:00 (+03:00);10/04/2022 09:00:00 (-10:00);4319.0;15.0
JFK-Estados Unidos;MEX-México;United Airlines;29/04/2022 11:00:00 (-09:00);30/04/2022 06:00:00 (-06:00);4712.0;16.0
JFK-Estados Unidos;MEX-México;American Airlines;01/04/2022 01:00:00 (-10:00);02/04/2022 01:00:00 (-05:00);4677.0;19.0
JFK-Estados Unidos;MEX-México;Emirates;01/04/2022 14:00:00 (+12:00);01/04/2022 19:00:00 (-07:00);3545.0;24.0
JFK-Estados Unidos;NRT-Japão;United Airlines;29/04/2022 17:00:00 (+03:00);29/04/2022 04:00:00 (-12:00);4112.0;2.0
JFK-Estados Unidos;NRT-Japão;AirFrance;19/04/2022 16:00:00 (+09:00);19/04/2022 06:00:00 (-08:00);2601.0;7.0
JFK-Estados Unidos;NRT-Japão;Qatar Airways;23/04/2022 12:00:00 (+01:00);24/04/2022 10:00:00 (+12:00);2076.0;11.0
JFK-Estados Unidos;NRT-Japão;AirCanada;13/04/2022 08:00:00 (-03:00);14/04/2022 09:00:00 (+11:00);2513.0;11.0
JFK-Estados Unidos;NRT-Japão;Gol Airlines;09/04/2022 20:00:00 (+06:00);10/04/2022 04:00:00 (Z);3397.0;14.0
JFK-Estados Unidos;NRT-Japão;Lufthansa;20/04/2022 04:00:00 (+02:00);21/04/2022 01:00:00 (+07:00);3996.0;16.0
JFK-Estados Unidos;NRT-Japão;LATAM Airlines;05/04/2022 09:00:00 (-09:00);06/04/2022 02:00:00 (-11:00);3253.0;19.0
JFK-Estados Unidos;NRT-Japão;Ethiopian Airlines;02/04/2022 13:00:00 (+06:00);02/04/2022 19:00:00 (-10:00);4937.0;22.0
JFK-Estados Unidos;NRT-Japão;American Airlines;26/04/2022 09:00:00 (+08:00);26/04/2022 20:00:00 (-04:00);2842.0;23.0
JFK-Estados Unidos;NRT-Japão;Emirates;12/04/2022 18:00:00 (+06:00);13/04/2022 14:00:00 (+03:00);4516.0;23.0
JFK-Estados Unidos;PEK-China;LATAM Airlines;09/04/2022 09:00:00 (-03:00);09/04/2022 15:00:00 (-07:00);4441.0;10.0
JFK-Estados Unidos;PEK-China;Emirates;30/04/2022 04:00:00 (-06:00);30/04/2022 22:00:00 (+01:00);4967.0;11.0
JFK-Estados Unidos;PEK-China;United Airlines;30/04/2022 01:00:00 (-04:00);30/04/2022 15:00:00 (-04:00);3696.0;14.0
JFK-Estados Unidos;PEK-China;AirFrance;01/04/2022 02:00:00 (+06:00);01/04/2022 00:00:00 (-12:00);4571.0;16.0
JFK-Estados Unidos;PEK-China;AirCanada;09/04/2022 20:00:00 (+06:00);10/04/2022 12:00:00 (+06:00);4653.0;16.0
JFK-Estados Unidos;PEK-China;American Airlines;14/04/2022 04:00:00 (-02:00);15/04/2022 03:00:00 (+01:00);2575.0;20.0
JFK-Estados Unidos;PEK-China;Qatar Airways;13/04/2022 00:00:00 (+11:00);13/04/2022 07:00:00 (-02:00);4737.0;20.0
JFK-Estados Unidos;PEK-China;Gol Airlines;13/04/2022 22:00:00 (-03:00);15/04/2022 06:00:00 (+08:00);2061.0;21.0
JFK-Estados Unidos;PEK-China;Lufthansa;23/04/2022 14:00:00 (-05:00);24/04/2022 14:00:00 (-02:00);4678.0;21.0
JFK-Estados Unidos;PEK-China;Ethiopian Airlines;28/04/2022 23:00:00 (+06:00);30/04/2022 02:00:00 (+09:00);2419.0;24.0
JFK-Estados Unidos;YYC-Canada;Qatar Airways;21/04/2022 12:00:00 (+07:00);21/04/2022 10:00:00 (+04:00);2252.0;1.0
JFK-Estados Unidos;YYC-Canada;AirCanada;28/04/2022 16:00:00 (+10:00);28/04/2022 03:00:00 (-04:00);3911.0;1.0
JFK-Estados Unidos;YYC-Canada;LATAM Airlines;13/04/2022 05:00:00 (-06:00);13/04/2022 18:00:00 (Z);3637.0;7.0
JFK-Estados Unidos;YYC-Canada;Gol Airlines;08/04/2022 23:00:00 (-09:00);09/04/2022 14:00:00 (-02:00);2004.0;8.0
JFK-Estados Unidos;YYC-Canada;American Airlines;03/04/2022 01:00:00 (Z);03/04/2022 13:00:00 (+03:00);4807.0;9.0
JFK-Estados Unidos;YYC-Canada;Ethiopian Airlines;10/04/2022 21:00:00 (-06:00);11/04/2022 10:00:00 (-05:00);2078.0;12.0
JFK-Estados Unidos;YYC-Canada;United Airlines;17/04/2022 15:00:00 (-05:00);18/04/2022 12:00:00 (Z);3273.0;16.0
JFK-Estados Unidos;YYC-Canada;Lufthansa;04/04/2022 04:00:00 (+05:00);04/04/2022 10:00:00 (-07:00);2355.0;18.0
JFK-Estados Unidos;YYC-Canada;Emirates;01/04/2022 07:00:00 (-10:00);02/04/2022 04:00:00 (-09:00);3897.0;20.0
JFK-Estados Unidos;YYC-Canada;AirFrance;20/04/2022 22:00:00 (+03:00);22/04/2022 05:00:00 (+12:00);2272.0;22.0
KIN-Jamaica;FEN-Brasil;Ethiopian Airlines;29/04/2022 02:00:00 (-12:00);29/04/2022 16:00:00 (+01:00);2718.0;1.0
KIN-Jamaica;FEN-Brasil;Lufthansa;29/04/2022 19:00:00 (+05:00);29/04/2022 13:00:00 (-04:00);2938.0;3.0
KIN-Jamaica;FEN-Brasil;American Airlines;21/04/2022 08:00:00 (+02:00);21/04/2022 05:00:00 (-06:00);2297.0;5.0
KIN-Jamaica;FEN-Brasil;Emirates;22/04/2022 10:00:00 (-09:00);22/04/2022 22:00:00 (-07:00);2167.0;10.0
KIN-Jamaica;FEN-Brasil;Qatar Airways;08/04/2022 13:00:00 (+08:00);08/04/2022 23:00:00 (+06:00);2071.0;12.0
KIN-Jamaica;FEN-Brasil;United Airlines;14/04/2022 17:00:00 (+09:00);15/04/2022 00:00:00 (+04:00);2141.0;12.0
KIN-Jamaica;FEN-Brasil;LATAM Airlines;26/04/2022 18:00:00 (-01:00);27/04/2022 11:00:00 (-01:00);3682.0;17.0
KIN-Jamaica;FEN-Brasil;AirFrance;26/04/2022 14:00:00 (-01:00);27/04/2022 05:00:00 (-03:00);4680.0;17.0
KIN-Jamaica;FEN-Brasil;AirCanada;22/04/2022 10:00:00 (-11:00);23/04/2022 06:00:00 (-12:00);3408.0;21.0
KIN-Jamaica;FEN-Brasil;Gol Airlines;01/04/2022 05:00:00 (+03:00);02/04/2022 06:00:00 (+05:00);2286.0;23.0
KIN-Jamaica;LIS-Portugal;United Airlines;07/04/2022 11:00:00 (+08:00);06/04/2022 16:00:00 (-12:00);4160.0;1.0
KIN-Jamaica;LIS-Portugal;Emirates;27/04/2022 14:00:00 (-01:00);27/04/2022 05:00:00 (-11:00);4309.0;1.0
KIN-Jamaica;LIS-Portugal;Qatar Airways;24/04/2022 11:00:00 (-01:00);24/04/2022 13:00:00 (-06:00);4074.0;7.0
KIN-Jamaica;LIS-Portugal;AirCanada;11/04/2022 02:00:00 (+07:00);11/04/2022 16:00:00 (+12:00);4934.0;9.0
KIN-Jamaica;LIS-Portugal;American Airlines;06/04/2022 19:00:00 (+09:00);07/04/2022 01:00:00 (+01:00);3062.0;14.0
KIN-Jamaica;LIS-Portugal;Lufthansa;27/04/2022 17:00:00 (-07:00);28/04/2022 08:00:00 (-07:00);4785.0;15.0
KIN-Jamaica;LIS-Portugal;Ethiopian Airlines;10/04/2022 14:00:00 (-08:00);11/04/2022 14:00:00 (-02:00);2857.0;18.0
KIN-Jamaica;LIS-Portugal;Gol Airlines;19/04/2022 04:00:00 (+12:00);19/04/2022 17:00:00 (+07:00);2970.0;18.0
KIN-Jamaica;LIS-Portugal;AirFrance;02/04/2022 08:00:00 (+09:00);02/04/2022 15:00:00 (-02:00);4724.0;18.0
KIN-Jamaica;LIS-Portugal;LATAM Airlines;25/04/2022 14:00:00 (+10:00);25/04/2022 21:00:00 (-04:00);3102.0;21.0
KIN-Jamaica;MEL-Austrália;AirFrance;27/04/2022 08:00:00 (-08:00);27/04/2022 09:00:00 (-09:00);3540.0;2.0
